canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
Clc1ccccc1CC(=O)Nc2ccc3cn[nH]c3c2,5.2,CHEMBL1987533,CaM kinase II delta
Cn1cc(Nc2ncc(Cl)c(Nc3ccccc3C(=O)N)n2)cn1,7.0,CHEMBL1984548,CaM kinase II delta
NC(COc1cncc(c1)c2ccc3NC(=O)Cc3c2)Cc4c[nH]c5ccccc45,6.0,CHEMBL1967302,CaM kinase II delta
N#Cc1ccc(cn1)c2n[nH]c3c2Cc4ccc(OCCCCN5CCOCC5)cc34,6.9,CHEMBL398951,CaM kinase II delta
CCN(CC)CCNC(=O)C=Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,5.9,CHEMBL2004716,CaM kinase II delta
Cc1cc(O)ccc1N2C=C(C(=O)NN)C(=O)c3ccc(cc23)c4ccncc4,5.8,CHEMBL2000894,CaM kinase II delta
Nc1ncnc2c1sc3ncnc(N)c23,5.6,CHEMBL1976090,CaM kinase II delta
OCC(CO)Nc1ncnc2[nH]cc(c3ccccc3)c12,7.1,CHEMBL1992922,CaM kinase II delta
S=C1NN=C2N1C3=NNC(=S)N3c4sc5CCCc5c24,6.7,CHEMBL1969537,CaM kinase II delta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(cnn4c3N)c5cnn(C)c5)c1,5.5,CHEMBL508928,CaM kinase II delta
CS(=O)(=O)Nc1ccc(cc1)c2ccc3[nH]nc(N)c3c2,5.4,CHEMBL2004892,CaM kinase II delta
Cc1n[nH]c2ccc(cc12)c3nnn(Cc4ccccc4)c3c5ccc(F)cc5,6.6,CHEMBL1972339,CaM kinase II delta
Cc1cc(C)c(C)c(OCCCc2c([nH]c3c(cccc23)c4ccccc4C)C(=O)O)c1,5.2,CHEMBL1990821,CaM kinase II delta
CC(N)COc1cnc(Cl)c(C=Cc2ccncc2)c1,5.3,CHEMBL1993548,CaM kinase II delta
OC(C(=O)NNC(=S)Nc1ccc(Cl)cc1)(c2ccccc2)c3ccccc3,5.6,CHEMBL1966722,CaM kinase II delta
COc1cc(ccc1O)c2ccc3C(=O)Nc4cc(ccc4Nc3c2)C(=O)NCCNC(=O)C,6.3,CHEMBL1975500,CaM kinase II delta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ccnc(N)c34)c1,5.4,CHEMBL394619,CaM kinase II delta
OC(=O)c1c2CCC(=C3CCCC3)c2nc4ccccc14,6.1,CHEMBL1996831,CaM kinase II delta
Nc1ncnc2NCCC(=Nc12)c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3,5.3,CHEMBL411903,CaM kinase II delta
Clc1cc(nc(NC2CCOCC2)n1)c3c[nH]c4ncccc34,6.4,CHEMBL1980253,CaM kinase II delta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN)c1,5.8,CHEMBL1965988,CaM kinase II delta
CN1CCC(C(O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,5.7,CHEMBL422897,CaM kinase II delta
Cc1c(nnn1Cc2ccccc2)c3ccc4[nH]nc(N)c4c3,5.2,CHEMBL1989646,CaM kinase II delta
CN1CCN(CC1)c2ccc3nc([nH]c3c2)C4=C(N)c5c(F)cccc5NC4=O,6.5,CHEMBL522892,CaM kinase II delta
COc1cc(C=C2SC(=Nc3ccccc3)NC2=O)ccc1O,5.7,CHEMBL1970522,CaM kinase II delta
O=C(Nc1n[nH]c2nc3ccccc3cc12)c4ccncc4,5.8,CHEMBL1990415,CaM kinase II delta
CNCC(=O)NC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,6.4,CHEMBL1996980,CaM kinase II delta
Cn1cc(Nc2ncc(Br)c(Nc3ccccc3C(=O)N)n2)cn1,7.5,CHEMBL1994669,CaM kinase II delta
Cc1nc(N)sc1c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,6.0,CHEMBL482967,CaM kinase II delta
CNC(=O)c1ccccc1Nc2nc(Nc3ccc(cc3OC)N4CCOCC4)ncc2Cl,6.5,CHEMBL458997,CaM kinase II delta
Cc1n[nH]c2ccc(cc12)c3cncc(OCC(N)Cc4cccc(OC(F)(F)F)c4)c3,7.6,CHEMBL1965836,CaM kinase II delta
Clc1ccc(Cl)c2c3N=CNC(=O)c3sc12,5.3,CHEMBL583144,CaM kinase II delta
NC(=O)c1cc2c(cncc2s1)c3ccc(F)cc3,5.5,CHEMBL1974310,CaM kinase II delta
NC(=O)c1cccc(c1)c2cnc3[nH]cc(c4ccccc4)c3c2,7.2,CHEMBL1982957,CaM kinase II delta
Oc1c2ccccc2c3N=Nc4cccc1c34,6.0,CHEMBL1725279,CaM kinase II delta
OC(C(=O)NNC(=S)Nc1ccc(F)cc1)(c2ccccc2)c3ccccc3,5.7,CHEMBL1975138,CaM kinase II delta
NC(=O)c1sc2ccc(Cl)c(Cl)c2c1NC(=O)c3ccc(Cl)cc3,5.6,CHEMBL2003271,CaM kinase II delta
CC(=O)NCC(=O)N1C2CCC1c3cc(Nc4ncc(c(NC5CCC5)n4)C(F)(F)F)ccc23,6.7,CHEMBL1983111,CaM kinase II delta
OCCNc1cc2cc(ccc2cn1)c3ccsc3,5.2,CHEMBL1973860,CaM kinase II delta
Oc1cccc2c(ccc(NCc3ccc4OCOc4c3)c12)S(=O)(=O)O,5.8,CHEMBL2004544,CaM kinase II delta
Nc1ccc(cc1)c2csc3c(C=Cc4nc5ccccc5[nH]4)cnc(N)c23,5.6,CHEMBL1988300,CaM kinase II delta
COc1ccc(cc1OC)C(=O)Nc2n[nH]c3ccc(cc23)c4cn(Cc5ccccc5)nn4,6.1,CHEMBL1991078,CaM kinase II delta
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccccc6n2,7.5,CHEMBL565612,CaM kinase II delta
O=C(Nc1cc2C(=O)NN=Cc3c[nH]c(c1)c23)C4CC4c5ccccc5,5.3,CHEMBL1969502,CaM kinase II delta
COc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,5.9,CHEMBL1997764,CaM kinase II delta
Oc1ccc(cc1)c2n[nH]c(Nc3cccc(Cl)c3)c2c4ccc(O)cc4,5.3,CHEMBL1985092,CaM kinase II delta
CN(C)c1cccc2c(cccc12)S(=O)(=O)N(CCN)c3cncc(c3)c4ccc5cnccc5c4,5.5,CHEMBL1967544,CaM kinase II delta
NC(=O)C1=CN(c2ccc(O)cc2Cl)c3cc(ccc3C1=O)c4ccncc4,5.9,CHEMBL340384,CaM kinase II delta
CN(C)C1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,5.9,CHEMBL1969151,CaM kinase II delta
CS(=O)(=O)NCCOc1cncc(c1)c2ccc3cnccc3c2,5.3,CHEMBL1964804,CaM kinase II delta
COc1ccc(C=C2SC(=Nc3ccccc3)NC2=O)cc1O,5.9,CHEMBL2000354,CaM kinase II delta
Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1,6.7,CHEMBL1965507,CaM kinase II delta
NCCCn1cc(c2cc(c3cc4ccccc4s3)c5[nH]ncc5c2)c6nc(N)ncc16,6.8,CHEMBL592030,CaM kinase II delta
OCCCNc1ncnc2[nH]cc(c3ccccc3)c12,6.8,CHEMBL2000071,CaM kinase II delta
COc1cc(OC)cc(c1)C(=O)Nc2n[nH]c3ccc(cc23)c4cn(Cc5ccccc5)nn4,5.8,CHEMBL2002613,CaM kinase II delta
CCN(CC)C(=O)Nc1ccc2nc(c3occc3)c(nc2c1)c4occc4,5.7,CHEMBL1983195,CaM kinase II delta
NCCCOc1cc2C(=O)NCc2c(c1)c3ccc(Nc4oc5ccccc5n4)cc3,5.3,CHEMBL1975490,CaM kinase II delta
CN(C)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,5.6,CHEMBL1979883,CaM kinase II delta
COCCOC1CCC(CC1)n2nc(c3ccc(Nc4oc5c(C)cc(C)cc5n4)cc3)c6c(N)ncnc26,5.4,CHEMBL1984162,CaM kinase II delta
NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,6.6,CHEMBL1998432,CaM kinase II delta
Fc1cnc(Nc2ccccc2)nc1Nc3ccccc3,5.4,CHEMBL491758,CaM kinase II delta
Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3c(C)sc4ncnc(N)c34)c1,5.7,CHEMBL371206,CaM kinase II delta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)c1,5.5,CHEMBL196363,CaM kinase II delta
CCCC(=O)Nc1cccc(c1)c2nc(Nc3ccc4[nH]ncc4c3)c5cc(OCCN6CCCC6)ccc5n2,6.0,CHEMBL1968705,CaM kinase II delta
CC(C)Cc1cc(on1)c2ccc3[nH]nc(N)c3c2,5.6,CHEMBL1966343,CaM kinase II delta
Cc1n[nH]c2ccc(cc12)c3cncc(OCCN)c3,6.8,CHEMBL1967887,CaM kinase II delta
Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)cc1C,6.1,CHEMBL2000335,CaM kinase II delta
CN(c1ncccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C,5.4,CHEMBL1084546,CaM kinase II delta
Cc1cccc(Nc2nc(NC3CCCCC3N)cnc2C(=O)N)c1,6.4,CHEMBL1974328,CaM kinase II delta
Cc1ccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)cc1,6.1,CHEMBL1972576,CaM kinase II delta
NCC(NC(=O)c1ccc(cc1)c2ccncc2)c3ccccc3,5.5,CHEMBL1990254,CaM kinase II delta
Cc1cc(Cl)ccc1NC(=S)NNC(=O)C(O)(c2ccccc2)c3ccccc3,6.2,CHEMBL1988173,CaM kinase II delta
NC(=O)C1=C2SC(=Cc3occc3)C(=O)N2C(=C(C#N)C1c4occc4)N,6.1,CHEMBL1989805,CaM kinase II delta
CC(C)Cn1c(N)nc2ccc(cc12)c3c(nc4sccn34)c5ccc(F)cc5,5.2,CHEMBL1965423,CaM kinase II delta
CC(=C(C)c1cccc2c(CCCOc3cccc(Cl)c3Cl)c([nH]c12)C(=O)O)C,5.7,CHEMBL1982980,CaM kinase II delta
