canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
Clc1cc(cc(NCc2ccccc2)n1)c3c[nH]c4ncccc34,7.0,CHEMBL1969588,CaM kinase II gamma
CN1CCN(CC1)c2ccc(Nc3ncc(F)c(NC4C5CC(C=C5)C4C(=O)N)n3)cc2C,6.8,CHEMBL1967878,CaM kinase II gamma
CCCCn1c(NC(=O)c2ccc(cc2)C#N)nc3cc(ccc13)N(C)C(=O)C4CCCCC4,5.3,CHEMBL484390,CaM kinase II gamma
CCCCOc1ccccc1CCc2cccc3nc(N)nc(N)c23,5.5,CHEMBL1983255,CaM kinase II gamma
Nc1n[nH]c2ccc(cc12)c3nnn(Cc4ccccc4)c3c5ccc(F)cc5,5.8,CHEMBL1986499,CaM kinase II gamma
Fc1ccc2ncn(c3ncc4NC(=O)N(C5CCOc6c(F)cccc56)c4n3)c2c1,6.3,CHEMBL2000393,CaM kinase II gamma
Brc1cnc2[nH]cc(c3ccccc3)c2c1,6.5,CHEMBL1992634,CaM kinase II gamma
Cc1cc(ccc1c2cccc3c(CCCOc4cccc5ccccc45)c([nH]c23)C(=O)O)C(=O)NCCOCCOCCN,5.4,CHEMBL1976396,CaM kinase II gamma
Nc1ncnc2scc(C(=O)Nc3ccc(NC(=O)Nc4ccccc4)cc3)c12,5.3,CHEMBL1988594,CaM kinase II gamma
OC(=O)c1ccccc1Nc2ccnc(Nc3ccc4[nH]ncc4c3)n2,5.8,CHEMBL396523,CaM kinase II gamma
CCC1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCCCC5)ncc3N(C)C1=O,5.6,CHEMBL2005375,CaM kinase II gamma
Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,5.2,CHEMBL394790,CaM kinase II gamma
CC1=Nc2c(sc3c(Br)ccc(Cl)c23)C(=O)O1,5.3,CHEMBL1974702,CaM kinase II gamma
Oc1[nH]c2ccc(cc2c1c3ccc(CN4CCOCC4)cn3)C#N,5.3,CHEMBL1969664,CaM kinase II gamma
CNC(=O)c1ccccc1Sc2ccc3c(C=Cc4ccccn4)n[nH]c3c2,5.2,CHEMBL1988437,CaM kinase II gamma
NCCC(C(=O)Nc1ccc2[nH]ncc2c1)c3ccc(Cl)c(Cl)c3,5.5,CHEMBL1998121,CaM kinase II gamma
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CC(C)(C)N)c1,5.8,CHEMBL1979577,CaM kinase II gamma
CCCCOc1ncnc2[nH]cc(c3ccccc3)c12,7.3,CHEMBL1996817,CaM kinase II gamma
Cc1cc(C)c2oc(Nc3ccc(cc3F)c4cccc(C(=O)N)c4N)nc2c1,5.2,CHEMBL1990884,CaM kinase II gamma
