canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
Cc1n[nH]c2ccc(cc12)c3cccnc3,4.9,CHEMBL1967252,CaM kinase II alpha
Cn1cc(c2cc3nc(Br)cnc3[nH]2)c4cc(F)ccc14,5.6,CHEMBL1993335,CaM kinase II alpha
Nc1nc(Cl)cc(n1)c2c[nH]c3ncccc23,5.7,CHEMBL2007574,CaM kinase II alpha
CCN(CCN)C(=O)c1cccc(c1)n2nc(cc2NC(=O)Nc3cccc4ccccc34)C(C)(C)C,5.5,CHEMBL2004637,CaM kinase II alpha
CN(C)c1ccc(cc1)c2cc(nc(NS(=O)(=O)c3ccc(N)cc3)n2)c4ccc(cc4)[N+](=O)[O-],5.7,CHEMBL1980167,CaM kinase II alpha
OCc1ccc(cc1)c2sc(nc2C(=O)O)N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3,6.0,CHEMBL1983980,CaM kinase II alpha
c1ccc(cc1)c2ccnc3[nH]ccc23,5.0,CHEMBL482538,CaM kinase II alpha
Cc1ccc(C)c(NC(=O)c2cc(nc3ccccc23)c4occc4)c1,5.5,CHEMBL1984296,CaM kinase II alpha
CC1=CN2CC(=O)NN=C2C=C1,4.2,CHEMBL1964718,CaM kinase II alpha
CNS(=O)(=O)c1ccccc1Nc2nc(Nc3cc(OC)c(OC)c(OC)c3)ncc2Cl,6.2,CHEMBL1993661,CaM kinase II alpha
ON=C(c1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3,5.5,CHEMBL546797,CaM kinase II alpha
