canonical_smiles,pchembl_value,molecule_chembl_id,target_pref_name
Cc1nc(N)sc1c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,5.3,CHEMBL482967,CaM kinase II beta
CNC(=O)c1ccccc1Nc2nc(Nc3ccc(cc3OC)N4CCOCC4)ncc2Cl,5.2,CHEMBL458997,CaM kinase II beta
Cc1n[nH]c2ccc(cc12)c3cncc(OCC(N)Cc4cccc(OC(F)(F)F)c4)c3,6.3,CHEMBL1965836,CaM kinase II beta
Clc1ccc(Cl)c2c3N=CNC(=O)c3sc12,5.1,CHEMBL583144,CaM kinase II beta
NC(=O)c1cc2c(cncc2s1)c3ccc(F)cc3,5.1,CHEMBL1974310,CaM kinase II beta
NC(=O)c1cccc(c1)c2cnc3[nH]cc(c4ccccc4)c3c2,6.4,CHEMBL1982957,CaM kinase II beta
Oc1c2ccccc2c3N=Nc4cccc1c34,5.2,CHEMBL1725279,CaM kinase II beta
OC(C(=O)NNC(=S)Nc1ccc(F)cc1)(c2ccccc2)c3ccccc3,5.1,CHEMBL1975138,CaM kinase II beta
NC(=O)c1sc2ccc(Cl)c(Cl)c2c1NC(=O)c3ccc(Cl)cc3,5.7,CHEMBL2003271,CaM kinase II beta
CC(=O)NCC(=O)N1C2CCC1c3cc(Nc4ncc(c(NC5CCC5)n4)C(F)(F)F)ccc23,5.3,CHEMBL1983111,CaM kinase II beta
OCCNc1cc2cc(ccc2cn1)c3ccsc3,6.0,CHEMBL1973860,CaM kinase II beta
Oc1cccc2c(ccc(NCc3ccc4OCOc4c3)c12)S(=O)(=O)O,5.5,CHEMBL2004544,CaM kinase II beta
Clc1cccc(c1)c2cn3C(=O)NC=C(I)c3n2,5.1,CHEMBL1982610,CaM kinase II beta
CNCCONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F,5.1,CHEMBL1998165,CaM kinase II beta
COc1ccc(cc1OC)C(=O)Nc2n[nH]c3ccc(cc23)c4cn(Cc5ccccc5)nn4,5.9,CHEMBL1991078,CaM kinase II beta
CN1CCN(CC1)c2nc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccccc6n2,5.6,CHEMBL565612,CaM kinase II beta
O=C(Nc1cc2C(=O)NN=Cc3c[nH]c(c1)c23)C4CC4c5ccccc5,5.1,CHEMBL1969502,CaM kinase II beta
COc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,5.8,CHEMBL1997764,CaM kinase II beta
Oc1ccc(cc1)c2n[nH]c(Nc3cccc(Cl)c3)c2c4ccc(O)cc4,5.5,CHEMBL1985092,CaM kinase II beta
CN(C)c1cccc2c(cccc12)S(=O)(=O)N(CCN)c3cncc(c3)c4ccc5cnccc5c4,5.2,CHEMBL1967544,CaM kinase II beta
NC(=O)C1=CN(c2ccc(O)cc2Cl)c3cc(ccc3C1=O)c4ccncc4,5.4,CHEMBL340384,CaM kinase II beta
COc1ccc(C=C2SC(=Nc3ccccc3)NC2=O)cc1O,5.6,CHEMBL2000354,CaM kinase II beta
Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1,5.4,CHEMBL1965507,CaM kinase II beta
NCCCn1cc(c2cc(c3cc4ccccc4s3)c5[nH]ncc5c2)c6nc(N)ncc16,5.5,CHEMBL592030,CaM kinase II beta
OCCCNc1ncnc2[nH]cc(c3ccccc3)c12,6.0,CHEMBL2000071,CaM kinase II beta
CCN(CC)C(=O)Nc1ccc2nc(c3occc3)c(nc2c1)c4occc4,5.1,CHEMBL1983195,CaM kinase II beta
NCCCOc1cc2C(=O)NCc2c(c1)c3ccc(Nc4oc5ccccc5n4)cc3,5.2,CHEMBL1975490,CaM kinase II beta
CN(C)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,5.2,CHEMBL1979883,CaM kinase II beta
Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3c(C)sc4ncnc(N)c34)c1,5.6,CHEMBL371206,CaM kinase II beta
CC(C)CN1C(=O)N(C)C(=O)c2c(SCCCO)c(Cc3cccc4ccccc34)sc12,5.4,CHEMBL205526,CaM kinase II beta
CCCC(=O)Nc1cccc(c1)c2nc(Nc3ccc4[nH]ncc4c3)c5cc(OCCN6CCCC6)ccc5n2,5.5,CHEMBL1968705,CaM kinase II beta
CC(C)Cc1cc(on1)c2ccc3[nH]nc(N)c3c2,5.8,CHEMBL1966343,CaM kinase II beta
Cc1n[nH]c2ccc(cc12)c3cncc(OCCN)c3,6.2,CHEMBL1967887,CaM kinase II beta
CCCS(=O)(=O)Nc1ccc(cc1)c2ccc3[nH]nc(N)c3c2,5.2,CHEMBL1992342,CaM kinase II beta
Cc1cc(Cl)ccc1NC(=S)NNC(=O)C(O)(c2ccccc2)c3ccccc3,5.8,CHEMBL1988173,CaM kinase II beta
CC(C)Cn1c(N)nc2ccc(cc12)c3c(nc4sccn34)c5ccc(F)cc5,5.3,CHEMBL1965423,CaM kinase II beta
CC(=C(C)c1cccc2c(CCCOc3cccc(Cl)c3Cl)c([nH]c12)C(=O)O)C,5.7,CHEMBL1982980,CaM kinase II beta
CCC(N)(CC)C#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,5.4,CHEMBL1983025,CaM kinase II beta
CS(=O)(=O)N(Cc1ccc2NC(=O)c3cccn3c2c1)C4CC4,5.8,CHEMBL1978448,CaM kinase II beta
CCN(CC)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,5.3,CHEMBL2001257,CaM kinase II beta
Cc1ccccc1c2c(C(=O)O)n(CCCOc3cccc4ccccc34)c5ccccc25,5.6,CHEMBL1987793,CaM kinase II beta
COc1cccc(c1)C(C)NC(=O)c2cc(C)c(s2)c3ccc4[nH]nc(C)c4c3,5.5,CHEMBL1997534,CaM kinase II beta
CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOCC6CC6)c2)CC1,5.6,CHEMBL2002446,CaM kinase II beta
Ic1ccc(Oc2cncc3sc(cc23)C4=NC(=O)ON4)cc1,5.5,CHEMBL497151,CaM kinase II beta
NCC1CCC(CNc2nc(NCc3ccccc3Cl)ncc2[N+](=O)[O-])CC1,5.8,CHEMBL246970,CaM kinase II beta
Cc1cc(O)ccc1N2C=C(C(=O)N)C(=O)c3ccc(cc23)c4ccncc4,5.3,CHEMBL340921,CaM kinase II beta
O=C1Nc2ccc3ncsc3c2C1=CNc4ccc(cc4)S(=O)(=O)Nc5ccccn5,6.6,CHEMBL1973540,CaM kinase II beta
Clc1cc(nc(NC2CCCCC2)n1)c3c[nH]c4ncccc34,5.8,CHEMBL2006439,CaM kinase II beta
OC1CCC(CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34,5.6,CHEMBL1991674,CaM kinase II beta
NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,6.5,CHEMBL1982711,CaM kinase II beta
FC(F)(F)Oc1ccc(cc1)c2ccc3[nH]cc(C4=CCNCC4)c3c2,5.6,CHEMBL1987982,CaM kinase II beta
Clc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2,5.5,CHEMBL1998829,CaM kinase II beta
CCN1CCN(CC1)c2ccc(Nc3nccc(n3)c4c(nc5ccccn45)c6cccc(c6)C(=O)Nc7ccccc7F)cc2,5.6,CHEMBL1981725,CaM kinase II beta
NC1=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,5.5,CHEMBL462120,CaM kinase II beta
CCOC(=O)C1=CN(c2ccc(O)cc2C)c3cc(ccc3C1=O)c4ccccc4,5.3,CHEMBL1997839,CaM kinase II beta
O=C1Nc2sc3CCCCc3c2c4nc(nn14)c5ccccc5,5.1,CHEMBL2007592,CaM kinase II beta
CCNc1nc(C)c(C=CC(C)(C)c2ccc(cc2)C(F)(F)F)c(NCC)n1,5.7,CHEMBL1994214,CaM kinase II beta
COc1cccc(c1)C(C)NC(=O)N2CCC(=CC2)c3c[nH]c4ncccc34,5.1,CHEMBL1965845,CaM kinase II beta
NC(=O)c1cccc2[nH]c(nc12)c3ccncc3,5.2,CHEMBL1990482,CaM kinase II beta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1,5.4,CHEMBL220057,CaM kinase II beta
N(c1ccccc1)c2nc(cs2)c3ccc4[nH]ncc4c3,5.1,CHEMBL1682545,CaM kinase II beta
OCC(NC(=O)N1CCC(=CC1)c2c[nH]c3ncccc23)c4ccccc4,5.3,CHEMBL1964937,CaM kinase II beta
C1CCC(CC1)Nc2c(nc3ncccn23)c4ccc5[nH]ncc5c4,5.2,CHEMBL1682552,CaM kinase II beta
Cc1cc(C)c(C=C2C(=O)Nc3ccccc23)[nH]1,5.2,CHEMBL2002702,CaM kinase II beta
Cc1n[nH]c2ccc(cc12)c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3,7.0,CHEMBL1970903,CaM kinase II beta
COCCOCC#Cc1cc(cs1)c2n[nH]c3c4ccc(CN5CCN(C)CC5)cc4C(=O)c23,5.2,CHEMBL387971,CaM kinase II beta
Clc1cccc(c1)C2=NCC(=O)Nc3sc4CCCCc4c23,5.2,CHEMBL2002470,CaM kinase II beta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3noc4ncnc(N)c34)c1,5.1,CHEMBL211378,CaM kinase II beta
NC(COc1cncc(c1)c2ccc3NC(=O)C(=Cc4occc4)c3c2)Cc5c[nH]c6ccccc56,6.6,CHEMBL2001751,CaM kinase II beta
COc1cc(ccc1O)c2ccc3[nH]nc(C(=O)Nc4ccccc4)c3c2,5.3,CHEMBL2007002,CaM kinase II beta
Clc1cc(cc(NCc2ccccc2)n1)c3c[nH]c4ncccc34,6.0,CHEMBL1969588,CaM kinase II beta
CN1CCN(CC1)c2ccc(Nc3ncc(F)c(NC4C5CC(C=C5)C4C(=O)N)n3)cc2C,5.3,CHEMBL1967878,CaM kinase II beta
NCC(NC(=O)c1ccc(cc1)c2ccncc2)c3ccccc3,5.1,CHEMBL1990254,CaM kinase II beta
CCCCOc1ccccc1CCc2cccc3nc(N)nc(N)c23,5.6,CHEMBL1983255,CaM kinase II beta
Nc1n[nH]c2ccc(cc12)c3nnn(Cc4ccccc4)c3c5ccc(F)cc5,5.7,CHEMBL1986499,CaM kinase II beta
Fc1ccc2ncn(c3ncc4NC(=O)N(C5CCOc6c(F)cccc56)c4n3)c2c1,5.4,CHEMBL2000393,CaM kinase II beta
Cc1cc(C)cc(NC(=O)Nc2ccc(c(C)c2)c3cccc4C(=O)NCc34)c1,5.1,CHEMBL2004311,CaM kinase II beta
Brc1cnc2[nH]cc(c3ccccc3)c2c1,6.4,CHEMBL1992634,CaM kinase II beta
Cc1cc(ccc1c2cccc3c(CCCOc4cccc5ccccc45)c([nH]c23)C(=O)O)C(=O)NCCOCCOCCN,5.3,CHEMBL1976396,CaM kinase II beta
Nc1ncnc2scc(C(=O)Nc3ccc(NC(=O)Nc4ccccc4)cc3)c12,5.3,CHEMBL1988594,CaM kinase II beta
Nc1nc2ccc(cc2n1CC3CC3)c4c(nc5sccn45)c6ccc(F)cc6,5.1,CHEMBL1982874,CaM kinase II beta
Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,5.3,CHEMBL394790,CaM kinase II beta
CC1=Nc2c(sc3c(Br)ccc(Cl)c23)C(=O)O1,5.2,CHEMBL1974702,CaM kinase II beta
Cc1oc(nn1)c2cc3c(Oc4ccc(cc4)C(F)(F)F)cncc3s2,5.5,CHEMBL1988153,CaM kinase II beta
NCCC(C(=O)Nc1ccc2[nH]ncc2c1)c3ccc(Cl)c(Cl)c3,5.6,CHEMBL1998121,CaM kinase II beta
Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CC(C)(C)N)c1,5.6,CHEMBL1979577,CaM kinase II beta
CCCCOc1ncnc2[nH]cc(c3ccccc3)c12,6.5,CHEMBL1996817,CaM kinase II beta
Cc1cc(C)c2oc(Nc3ccc(cc3F)c4cccc(C(=O)N)c4N)nc2c1,5.3,CHEMBL1990884,CaM kinase II beta
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc23)c1C,5.9,CHEMBL1990885,CaM kinase II beta
COc1cc(ccc1O)c2ccc3C(=O)Nc4cc(ccc4Nc3c2)[N+](=O)[O-],5.2,CHEMBL1995740,CaM kinase II beta
Oc1ccc(Nc2[nH]nc(c3ccc(O)cc3)c2c4ccc(O)cc4)cc1,5.2,CHEMBL1969042,CaM kinase II beta
O=C(Nc1n[nH]c2ccc(cc12)c3cn(Cc4ccccc4)nn3)c5ccccc5,5.6,CHEMBL1999931,CaM kinase II beta
Cc1[nH]c(C=C2C(=O)Nc3ccccc23)c(C)c1CCC(=O)O,5.2,CHEMBL2007064,CaM kinase II beta
COC(C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N4CCN(C)CC4)c2C1)c5ccccc5,5.1,CHEMBL1981047,CaM kinase II beta
Cc1n[nH]c2ccc(cc12)c3cncc(OCC(N)Cc4ccc(Cl)c(Cl)c4)c3,6.6,CHEMBL1991063,CaM kinase II beta
Cc1n[nH]c2ccc(cc12)c3cncc(OCC(N)Cc4ccccc4)c3,6.5,CHEMBL2002726,CaM kinase II beta
O=C1NCCc2[nH]c(cc12)c3ccnc(c3)c4cnc5ccccc5c4,5.2,CHEMBL226403,CaM kinase II beta
Clc1cc(NC2CCCCC2)nc(n1)c3c[nH]c4ncccc34,5.5,CHEMBL1997846,CaM kinase II beta
CC(C)Cn1c(N)nc2c(F)cc(cc12)c3c(nc4sccn34)c5ccc(F)cc5,5.2,CHEMBL2004419,CaM kinase II beta
Brc1ccc2[nH]nc(c3ccccc3)c2c1,5.5,CHEMBL1994074,CaM kinase II beta
Fc1ccc(NC(=O)Nc2ccc(cc2)c3cccc4sncc34)cc1C(F)(F)F,5.5,CHEMBL2000801,CaM kinase II beta
Fc1cccc(c1)C(=O)Nc2n[nH]c3ccc(cc23)c4cn(Cc5ccccc5)nn4,5.6,CHEMBL2003638,CaM kinase II beta
Cc1nc(COc2ccccc2Cl)sc1c3ccnc(N)n3,5.1,CHEMBL1375640,CaM kinase II beta
CSc1ccccc1CNc2ncc(c(NCC3CCC(CN)CC3)n2)[N+](=O)[O-],5.5,CHEMBL392642,CaM kinase II beta
Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,5.3,CHEMBL231209,CaM kinase II beta
CC(C)(C)OC(=O)n1cc(c2cncn2C3CCCCC3)c4ccccc14,5.3,CHEMBL1975357,CaM kinase II beta
Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c12,5.5,CHEMBL1976220,CaM kinase II beta
CN1CCN(CC1)C2CCC(CC2)n3cc(c4ccc(Oc5ccccc5)cc4)c6c(N)ncnc36,5.4,CHEMBL1997617,CaM kinase II beta
Nc1nccc2scc(c3ccc(NC(=O)Nc4ccccc4C(F)(F)F)cc3)c12,5.2,CHEMBL1987910,CaM kinase II beta
Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,5.2,CHEMBL1980297,CaM kinase II beta
CCCCOc1ccc(cc1S(=O)(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)C(C)(C)CC,5.4,CHEMBL1985690,CaM kinase II beta
CNS(=O)(=O)c1ccccc1Nc2nc(Nc3cc(OC)c(OC)c(OC)c3)ncc2Cl,6.4,CHEMBL1993661,CaM kinase II beta
Fc1cccc(C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2)c1F,5.9,CHEMBL1974416,CaM kinase II beta
CSc1nn(c(N)c1C(=O)N)c2ccccn2,5.3,CHEMBL2004615,CaM kinase II beta
Cc1nn(C)c(C)c1c2cccc3c(CCCOc4cccc5ccccc45)c([nH]c23)C(=O)O,5.1,CHEMBL1984039,CaM kinase II beta
